PLAYER,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,7:29,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-8
Markieff Morris,9:05,2,3,.667,0,1,.000,5,6,.833,0,0,0,1,0,0,0,2,9,-9
Bruce Brown,7:43,2,2,1.000,1,1,1.000,6,6,1.000,0,1,1,0,0,0,0,0,11,-11
Tony Snell,2:55,0,1,.000,0,1,.000,0,0,0.0,0,0,0,1,0,0,0,0,0,0
Thon Maker,5:49,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
Langston Galloway,7:56,0,1,.000,0,1,.000,0,0,0.0,0,1,1,1,0,0,1,0,0,-2
Derrick Rose,9:10,3,6,.500,0,2,.000,0,0,0.0,0,0,0,1,1,0,0,0,6,-8
Christian Wood,6:11,1,1,1.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,2,2,-6
Sviatoslav Mykhailiuk,3:42,0,2,.000,0,2,.000,0,0,0.0,0,1,1,0,0,0,0,0,0,+2
Team Totals,240,41,86,.477,13,39,.333,24,34,.706,12,24,36,29,6,4,14,19,119,0
Bradley Beal,7:43,4,5,.800,1,2,.500,2,2,1.000,0,0,0,2,0,0,0,0,11,+11
Isaiah Thomas,5:45,4,4,1.000,3,3,1.000,0,0,0.0,0,1,1,2,0,0,1,1,11,+12
Ian Mahinmi,4:56,0,0,0.0,0,0,0.0,0,2,.000,0,1,1,0,0,0,0,3,0,+9
Isaac Bonga,4:17,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,0,-2
Rui Hachimura,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
DÄvis BertÄns,8:18,2,2,1.000,1,1,1.000,2,3,.667,0,1,1,1,0,0,0,0,7,+11
Troy Brown,12:00,1,2,.500,0,1,.000,0,0,0.0,0,3,3,1,0,0,0,2,2,+9
Ish Smith,5:40,1,1,1.000,0,0,0.0,0,0,0.0,0,0,0,2,0,0,1,0,2,-3
Admiral Schofield,7:04,2,4,.500,0,2,.000,0,0,0.0,0,0,0,0,0,0,0,1,4,0
Garrison Mathews,4:17,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Team Totals,240,49,88,.557,18,34,.529,17,21,.810,7,28,35,31,6,5,15,27,133,0
Kyle Lowry,8:52,2,4,.500,0,2,.000,3,5,.600,0,0,0,2,0,0,0,1,7,0
Pascal Siakam,4:50,3,4,.750,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,6,0
Norman Powell,4:50,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0
OG Anunoby,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Marc Gasol,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Patrick McCaw,8:26,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,1,0,-2
Serge Ibaka,10:08,2,3,.667,0,0,0.0,2,3,.667,1,4,5,0,0,1,1,1,6,-2
Terence Davis,12:00,1,3,.333,1,2,.500,2,2,1.000,0,2,2,1,0,0,0,0,5,0
Chris Boucher,7:10,1,1,1.000,1,1,1.000,2,2,1.000,0,2,2,1,0,0,0,3,5,0
Dewan Hernandez,1:52,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,+2
Malcolm Miller,1:52,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,+2
Team Totals,240,52,89,.584,16,32,.500,13,17,.765,6,35,41,31,7,2,7,19,133,0
Darius Garland,12:00,6,7,.857,3,4,.750,0,0,0.0,0,0,0,0,1,0,0,0,15,0
Tristan Thompson,5:25,1,3,.333,0,0,0.0,0,2,.000,0,0,0,0,0,0,0,0,2,-6
Collin Sexton,6:43,1,3,.333,0,0,0.0,2,2,1.000,1,0,1,0,0,0,0,0,4,-4
Kevin Love,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Cedi Osman,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Kevin Porter,12:00,1,3,.333,0,1,.000,0,0,0.0,0,1,1,4,0,0,0,1,2,0
Larry Nance,12:00,1,3,.333,0,2,.000,0,0,0.0,0,2,2,2,0,0,1,1,2,0
Jordan Clarkson,5:17,0,0,0.0,0,0,0.0,2,2,1.000,0,0,0,0,1,0,0,1,2,+4
John Henson,6:35,1,2,.500,0,1,.000,0,0,0.0,0,3,3,1,2,0,0,5,2,+6
Matthew Dellavedova,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,44,90,.489,12,35,.343,13,17,.765,9,30,39,30,6,1,10,15,113,0
Russell Westbrook,9:10,0,2,.000,0,1,.000,0,0,0.0,0,4,4,2,0,1,1,0,0,+4
Clint Capela,12:00,2,2,1.000,0,0,0.0,1,2,.500,0,5,5,2,0,2,1,0,5,+8
P.J. Tucker,12:00,2,2,1.000,1,1,1.000,0,0,0.0,0,3,3,0,1,0,0,2,5,+8
James Harden,8:58,2,6,.333,1,3,.333,2,2,1.000,0,1,1,2,0,0,0,2,7,+9
